,contentid,companyName,phone,address,jobType,employeeSize,capital,tag,all,settings
31,,Crooks Group,(386) 502-1381,816 Nicolas Rue,Representative,25679,34918,"['tag1', 'tag2']",https://violet.com,https://juvenal.biz
32,,"Schiller, Koepp and Wiegand",900-921-1233,969 Kirlin Course,Technician,70644,63814,"['tag1', 'tag2']",http://diana.biz,http://abdullah.com
33,,Larson - White,672.539.5961 x825,958 Dickens Flats,Technician,2094,68103,"['tag1', 'tag2']",https://samanta.org,https://myrtis.com
34,,Howell Inc,813.589.1297 x4289,4298 Gardner Lights,Architect,30044,19022,"['tag1', 'tag2']",https://dawn.net,https://emanuel.com
35,,Walter - Bogan,880.519.4723,9267 Turcotte Shoal,Director,3820,75111,"['tag1', 'tag2']",http://nicholas.org,https://ferne.com
36,,Cassin - Kilback,385-501-1338,681 Sadie Causeway,Planner,54852,99455,"['tag1', 'tag2']",http://geovany.com,http://keira.org
37,,Altenwerth - Kuvalis,858-926-3644 x9500,047 Krista Brooks,Director,51220,51162,"['tag1', 'tag2']",http://adolphus.net,https://jerome.info
38,,Cormier - Rolfson,328-700-5507,767 Shyann Drive,Director,90895,71605,"['tag1', 'tag2']",https://trent.org,https://willy.net
39,,"Pacocha, Doyle and Funk",(738) 708-2822 x50394,80378 Schuppe Street,Planner,87450,73612,"['tag1', 'tag2']",https://kathlyn.net,https://destini.net
40,,Funk - Lindgren,(942) 413-8676,8216 Mortimer Place,Consultant,56461,79827,"['tag1', 'tag2']",https://grant.name,https://thea.biz
41,,"Luettgen, Schultz and Kuhic",1-218-740-7504,51531 Aisha Streets,Analyst,45611,95815,"['tag1', 'tag2']",http://alvena.info,https://trycia.com
42,,"Batz, Waters and Emard",315.620.2245 x5044,1937 Pagac Turnpike,Orchestrator,95086,59441,"['tag1', 'tag2']",https://evie.net,http://benedict.info
43,,Moore - Schuster,1-468-260-8621 x1094,25170 Emerson Stream,Developer,64468,88193,"['tag1', 'tag2']",https://jade.biz,https://claude.info
44,,Lind - Gerhold,1-491-730-7700,5051 Leilani Drive,Director,7034,19511,"['tag1', 'tag2']",https://brock.info,https://cecile.org
45,,Gaylord LLC,304-220-7920,0996 Jakubowski Ports,Analyst,18252,58198,"['tag1', 'tag2']",https://elwin.info,http://katarina.info
46,,Altenwerth - Dibbert,1-683-285-8127 x75534,701 Denesik Locks,Representative,13295,41573,"['tag1', 'tag2']",https://gia.info,http://sydnie.com
47,,Stoltenberg - Wyman,788-334-5284 x1015,68359 Hyman Common,Technician,9868,85363,"['tag1', 'tag2']",http://terrell.org,https://nichole.biz
48,,Krajcik - Feeney,1-515-375-7884 x9103,102 Linda Camp,Executive,58545,13844,"['tag1', 'tag2']",https://braden.name,https://edwina.info
49,,Fritsch - Skiles,297.994.3457 x187,824 Kiana Field,Planner,69564,33535,"['tag1', 'tag2']",http://marshall.info,https://danial.name
50,,"Dicki, Bernier and Herzog",(484) 626-0567 x519,3770 Julia Gateway,Coordinator,80937,56725,"['tag1', 'tag2']",https://mariana.org,https://augustus.net
51,,Zulauf and Sons,471-232-0257,41188 Abshire Groves,Technician,31000,53238,"['tag1', 'tag2']",https://eileen.name,https://clarabelle.org
52,,Kerluke Group,565.761.4823 x400,8369 Lisette Glen,Architect,20543,22659,"['tag1', 'tag2']",https://shakira.com,https://breanne.biz
53,,Osinski - Kshlerin,580.663.6445 x03609,9861 Sonia Underpass,Representative,31866,77913,"['tag1', 'tag2']",http://julia.info,https://gia.info
54,,Jones and Sons,1-820-811-1501 x64932,23789 Virginia Ports,Designer,40661,96767,"['tag1', 'tag2']",https://kurtis.info,https://rogelio.net
55,,VonRueden - Thompson,(464) 406-3391 x6043,4423 Mueller Shore,Executive,57075,87631,"['tag1', 'tag2']",http://keagan.org,https://isabelle.info
56,,Strosin Inc,(441) 388-7381 x4641,2336 Pink Union,Manager,49744,96371,"['tag1', 'tag2']",http://tracey.com,http://whitney.net
57,,Goyette - O'Connell,(896) 649-2146 x07539,98848 Simonis Valleys,Representative,42115,81398,"['tag1', 'tag2']",http://blanca.name,https://edwina.info
58,,"Rosenbaum, Rowe and Olson",1-365-417-4702 x60336,596 Ottis Prairie,Liaison,2167,35284,"['tag1', 'tag2']",https://delphine.org,http://dean.biz
59,,"Douglas, Corwin and Marquardt",1-918-735-6981 x20987,5124 Dusty Park,Planner,91598,12746,"['tag1', 'tag2']",http://edwina.name,http://johnnie.info
60,,Labadie Inc,1-699-833-8771 x99184,88090 Shane Common,Associate,5197,65297,"['tag1', 'tag2']",https://tommie.info,https://al.org
61,,Gaylord - Dicki,862.899.4509 x08663,63073 McClure Vista,Executive,28733,79023,"['tag1', 'tag2']",http://dasia.name,http://fidel.biz
62,,Koepp - Davis,(244) 614-0565 x1160,1182 Britney Mission,Developer,146,23176,"['tag1', 'tag2']",https://viviane.net,http://jasmin.net
63,,"Lindgren, Beier and Marquardt",1-931-971-1887 x90424,85883 Rickie Garden,Manager,56957,56689,"['tag1', 'tag2']",https://verla.net,https://judah.com
64,,Walsh - Rutherford,256.224.2626 x187,9460 Ondricka Roads,Developer,38196,89884,"['tag1', 'tag2']",https://emely.com,https://johann.org
65,,"O'Kon, Brown and Rohan",277-859-6353 x1054,666 Melany Throughway,Agent,2203,67283,"['tag1', 'tag2']",http://maurice.biz,https://marc.com
66,,Hoppe - Shanahan,1-398-792-4471 x7020,751 Tevin Mountains,Liaison,72787,52419,"['tag1', 'tag2']",https://zula.org,http://mozelle.org
67,,Nienow - Jones,(714) 993-8676,2722 Tony Streets,Assistant,90767,2673,"['tag1', 'tag2']",https://annette.info,https://cordia.com
68,,Wolf - Kuphal,941-295-5014,89070 Marilie Club,Manager,21623,49811,"['tag1', 'tag2']",http://patience.info,http://ryleigh.info
69,,Bartell Inc,1-959-313-2770 x3803,2763 Harvey Fork,Specialist,5542,62520,"['tag1', 'tag2']",http://stacey.name,http://cloyd.org
70,,Brekke Inc,(721) 283-3557 x28846,925 Cora Lodge,Associate,19130,95878,"['tag1', 'tag2']",https://vladimir.org,http://valerie.info
71,,"Bode, Goodwin and Kshlerin",577-912-8531 x0406,75832 Cormier Spur,Representative,7168,57392,"['tag1', 'tag2']",http://tad.net,http://earline.biz
72,,Cronin - Fahey,451.732.7307,77289 Kaley Ridge,Analyst,13119,9910,"['tag1', 'tag2']",http://rene.org,https://dannie.info
73,,Christiansen Inc,569.990.3186,61789 Chanelle Prairie,Analyst,55803,37243,"['tag1', 'tag2']",http://isidro.org,https://brooklyn.info
74,,Conroy - Schaden,(339) 244-4687 x24454,392 Ryan Stravenue,Facilitator,18408,16572,"['tag1', 'tag2']",http://norris.biz,https://odell.name
75,,Predovic - Kemmer,1-729-771-3388 x90004,2072 Mozelle Radial,Assistant,73852,42507,"['tag1', 'tag2']",http://jennings.org,https://bennett.com
76,,Tromp - Cremin,1-535-363-4612 x502,9083 Lonny Trace,Associate,80445,67672,"['tag1', 'tag2']",https://donato.org,http://leola.com
77,,Dickinson - Kunde,1-864-738-6998 x4657,1825 Rashawn Causeway,Coordinator,33096,10902,"['tag1', 'tag2']",https://mathias.org,http://ethel.com
78,,Hartmann - Schumm,1-341-706-6070 x745,4250 Chris Trail,Agent,17540,49611,"['tag1', 'tag2']",http://manuela.com,http://kaden.com
79,,Terry Inc,(403) 914-7549 x9652,3918 Janet Trail,Producer,62328,60606,"['tag1', 'tag2']",https://ashton.info,https://humberto.name
80,,Moore - Donnelly,860.953.7412,33992 Shanahan Creek,Director,96539,14352,"['tag1', 'tag2']",http://margaretta.org,http://jaden.biz
81,,Frami - Buckridge,269-528-4274,53443 Aglae River,Director,80877,27219,"['tag1', 'tag2']",http://jevon.com,https://juliet.org
82,,"Schmeler, Jacobi and Murazik",691.226.7274 x70882,719 Schumm Dam,Specialist,38506,34071,"['tag1', 'tag2']",http://zoila.name,http://keshawn.info
83,,Tromp Inc,804-511-1679 x7719,913 Mabel Wall,Director,3995,44468,"['tag1', 'tag2']",https://yazmin.org,https://oral.name
84,,Russel - Marks,931.644.7952 x6192,14386 Mariela Causeway,Engineer,65506,34340,"['tag1', 'tag2']",http://joelle.info,http://lane.com
85,,O'Hara - Lakin,381.843.5644,232 Vern Vista,Administrator,7481,68869,"['tag1', 'tag2']",https://pamela.net,http://tyree.biz
86,,"Morar, Prohaska and Ryan",319-573-4645,702 Kevin Rapid,Facilitator,17781,65856,"['tag1', 'tag2']",http://willow.info,https://lew.biz
87,,Rosenbaum - Osinski,1-308-743-5510,9080 Brown Villages,Producer,37923,64831,"['tag1', 'tag2']",https://clemens.org,https://nellie.info
88,,"Casper, Goldner and Block",1-888-473-4110,52106 Krista Motorway,Liaison,39068,98391,"['tag1', 'tag2']",http://camren.name,https://keira.info
89,,"Murray, Glover and Stehr",872-272-3570,9211 Jazmyne Trail,Assistant,89170,31014,"['tag1', 'tag2']",http://fred.net,https://gretchen.org
90,,"Johnson, Kunze and Strosin",(265) 333-6207 x27004,547 Rebecca Green,Designer,72416,80137,"['tag1', 'tag2']",https://sylvester.org,http://alison.org
91,,Mayert - Schumm,(920) 369-2843 x5266,60920 Adam Turnpike,Administrator,31076,49359,"['tag1', 'tag2']",http://danny.info,http://dallin.biz
92,,"Wintheiser, Toy and Gulgowski",211-768-1902,5509 Funk Summit,Agent,28905,86577,"['tag1', 'tag2']",http://arnold.biz,https://gerardo.biz
93,,Dietrich Group,947.643.8883 x234,33427 Harmony Plaza,Planner,45579,73604,"['tag1', 'tag2']",https://magdalen.name,https://camila.info
94,,Kozey - Hyatt,(830) 293-1373 x196,8203 Predovic Rapids,Officer,89926,57742,"['tag1', 'tag2']",http://edythe.name,http://david.name
95,,Lang Inc,396-977-2691 x01370,5075 Elliot Pass,Administrator,23921,26232,"['tag1', 'tag2']",http://jaden.biz,http://everett.com
96,,Williamson Group,(744) 868-1750,886 Lillian Corners,Producer,35093,23630,"['tag1', 'tag2']",http://cathrine.net,https://mack.org
97,,Gleason LLC,(487) 544-8440 x3690,971 Godfrey Via,Assistant,36380,7598,"['tag1', 'tag2']",http://toy.org,https://nyah.net
98,,Maggio - Farrell,740-551-8154,52387 Leffler Expressway,Producer,29345,59484,"['tag1', 'tag2']",http://jasper.name,http://jeanie.com
99,,Smitham and Sons,928.440.6494 x1612,129 O'Hara Meadow,Engineer,44242,97006,"['tag1', 'tag2']",https://ed.biz,http://clementine.name
